id,title,lat,lon,observed_at,summary
zippy-report-1,just mackerel lately for me some surf perch and smaller halibut,33.5987,-117.8826,legacy-zippy-csv,just mackerel lately for me some surf perch and smaller halibut | just mackerel lately for me some surf perch and smaller halibut | just mackerel lately for me some surf perch and smaller halibut
zippy-report-2,LFTR fishing spot 2,36.4147885,-118.9277509,legacy-zippy-csv,"this destination is slick rock and cobble knoll, i often walk between the two in daylight and catch largemouth(9), trout(6), and catfish(1) | Lake kaweah - trout were dumped at the middle ramp when I was on the first ramp....2-10-22. No fish caught....slick rock is a good downhill walk ....w water....lake water | june 2.2022-jumping bass no bites on anchovies"
zippy-report-3,LFTR fishing spot 3,36.0765497,-118.9106086,legacy-zippy-csv,"Lake Success Near Porterville, bass fishing manana by the old boat launch near the Tule river. | i fished anchovies w a carolina rig which bounced over the rocks better than a drop loop....i used 12 lb and 16 lb and had 1 hit......in about 40-50 ft of water south side of the lake on the point west of the launch and the dock....i chummed and then tossed ......some activity w chum of 6-8 chovies"
zippy-report-4,LFTR fishing spot 4,37.0396,-119.6483,legacy-zippy-csv,"south finegold is still in my memory, there were fish no catching tho"
zippy-report-5,LFTR fishing spot 5,33.5901046,-117.870014,legacy-zippy-csv,Lil Corona Del Mar.....rad loc.
zippy-report-6,LFTR fishing spot 6,33.5985056,-117.9033164,legacy-zippy-csv,Balboa Pier...
zippy-report-7,LFTR fishing spot 7,33.6074678,-117.9309998,legacy-zippy-csv,"April 28, 2023....I have caught barracuda and calico the last days in newport at another location, im taking my rig that caught them all here, Newport Beach Pier at about 8 am hopefully manana....the 29th of apriill!!! | date: April 30 2023,observation:Clearly a fishing pier ....i didnt catch from 8 to 10 am ...no one did ....there werw some silversides.....or jack smelt....and it may be the waater temp bc its 59 (met the dfg dude) he says it will be low 60s soon and will have more activity.....i used my barracuda rig for 20 ft depth or watever from the public pier (report)...and it floated from the nook to the end of the pier ......"
zippy-report-8,LFTR fishing spot 8,33.6531,-118.0061,legacy-zippy-csv,"b4 ---not lately i have fished the bait ball mostly, i use a sabiki or fly to hook sardines and anchovies and mack.....3/4 out ......the end has larger shark on a drift, seen 1 anchovie on a carolina work, 50 lb, and halfway out by the surf many fish are caught | 3-8-2022/ met a man who caught two rays last night on &#129425;/I fished anchovies on 6lb.. Carolina caught 1 fish had bites stolen chovies and a California gray showed up.......10 dollars=4 hrs of pier &#127359;&#65039;.../very nice less crowded weekdays are ++ | 3-8-2022/ met a man who caught two rays last night on &#129425;/I fished anchovies on 6lb.. Carolina caught 1 fish had bites stolen chovies and a California gray showed up.......10 dollars=4 hrs of pier &#127359;&#65039;.../very nice less crowded weekdays are ++"
zippy-report-9,LFTR fishing spot 9,33.7419998,-118.1875496,legacy-zippy-csv,the back report here is that if your 'good' fishing is way good around here | the back report here is that if your 'good' fishing is way good around here | the back report here is that if your 'good' fishing is way good around here
zippy-report-10,LFTR fishing spot 10,34.4986553,-118.6108158,legacy-zippy-csv,Castaic Lagoon | Castaic Lagoon
zippy-report-11,I have not caught fish here yet,34.2906126,-117.3599411,legacy-zippy-csv,I have not caught fish here yet
zippy-report-12,LFTR fishing spot 12,34.565518,-114.3949421,legacy-zippy-csv,"Castle Rock Bay...lots of dieurinal fish, bass, wildlife out there as well..."
zippy-report-13,LFTR fishing spot 13,34.5133492,-114.3702769,legacy-zippy-csv,"Mesquite Bay North, Lake Havasu , AZ --- Great location for largemouth and more"
zippy-report-14,"Hello, great fishing",34.4548,-114.3755,legacy-zippy-csv,"Hello, great fishing | Hello, great fishing | Hello, great fishing"
zippy-report-15,LFTR fishing spot 15,34.4495,-114.3724,legacy-zippy-csv,"Nov 11, 2022...This is Dive Site 5, yes there is diving and no fishing sometimes, however great fishing too....large area up from site 6 to fish with two light houses.....big hookup on 16 flouro w anchovie .....got off n i got my hook back | 4/12/2023, divers site 5 caught a 14 in striper larger are here....on a carolina rig w 12 lb test.....34 oz sinker size 4 hook and an anchovie | jun 1-3, i got some striper to chase or whatever w the barracudarig / bobber stopper........huge .....3 ft ....like yellow tail...still goin here 3 dayz 1.5 hrs each no fish20 lb now 15 lb flouro"
zippy-report-16,LFTR fishing spot 16,34.4494,-114.3712,legacy-zippy-csv,"many striper bass caught here ....site 6 lhc az island | Nov 7 - 2022, i caught the only fish had bites from tricky small striped bass, some reports are 10 lb fish at night possibly many use 8 lb test......um lunker are here too | april 8 2023, i got here again!!! i had big hites at 7-8 am on chovie with chum and a man pulled a 4 lb - 6 lb largemouth wow"
zippy-report-17,excellent long hike fished no catching when i was  younger in scouts,33.3866412,-118.4734779,legacy-zippy-csv,excellent long hike fished no catching when i was younger in scouts
zippy-report-18,"2/1/22 well , it, jackson lake, is frozen in winter so no fishing happened....strange and cold...i stayed away",34.3922095,-117.7281097,legacy-zippy-csv,"2/1/22 well , it, jackson lake, is frozen in winter so no fishing happened....strange and cold...i stayed away"
zippy-report-19,None,33.7776743,-117.7328293,legacy-zippy-csv,1/27/22 no bites very windy walked to the back of east shore and saw 1 bass it was windy and the water quality became less....try again | 1/27/22 no bites very windy walked to the back of east shore and saw 1 bass it was windy and the water quality became less....try again
zippy-report-20,Willow Beach Arizona on North Lake Mojave...,35.869909,-114.6593498,legacy-zippy-csv,willow springs north of lake mojave
zippy-report-21,Alamo Lake --- deeper az,34.2419166,-113.5754997,legacy-zippy-csv,Alamo Lake --- deeper az
zippy-report-22,"many times in scouts and as adult man, very nice desti good stocked fishing and some alpers caught, many trout south ...",37.0518524,-118.2718777,legacy-zippy-csv,Tinnemaha Camp
zippy-report-23,"jan 6, 2012 mad trout at pickle meadow in a 28 inch school......elk hair caddis w indicator n 4 lb",38.351303,-119.5215569,legacy-zippy-csv,"jan 6, 2012 mad trout at pickle meadow in a 28 inch school......elk hair caddis w indicator n 4 lb"
zippy-report-24,"once, walker river south of bridgeport reservior, east walker river, big trout, no success on a dirt rd to nevada",38.3376116,-119.2086115,legacy-zippy-csv,"once, walker river south of bridgeport reservior, east walker river, big trout, no success on a dirt rd to nevada"
zippy-report-25,"Glacier Lodge - North Fork Big Pine Creek Trail, Big Pine Creek Wilderness Ranger Camp, Inyo County, California, Unit...",37.131402,-118.510526,legacy-zippy-csv,"Glacier Lodge - North Fork Big Pine Creek Trail, Big Pine Creek Wilderness Ranger Camp, Inyo County, California, United States"
zippy-report-26,"great,cold",38.1844159,-119.3218937,legacy-zippy-csv,"great,cold | campsite south of twin lakes by the stations, caught big trout........n staye the night with a lot of deer 20-30 a night i believe"
zippy-report-27,"April 26 2023, might go up Azuza Cyn soon.....this location is Crystal Lake.....elevation 5250 ft,  47 deg F overnigh...",34.3260822,-117.8413381,legacy-zippy-csv,2025-09-12 21:29 UTC – April 26 th 2023 i caught a giant fish with treble on cheese | 2025-09-12 21:30 UTC – going manana....made bait for treble ...to take 1! or two? swiss-velveta-mallow melt it will rock. | 2025-09-12 21:34 UTC – Going to fish with what i call a N/S California Rig. its a bass wood slip with a bobber stop for any depth....with a sinking Carolina rig on 3 0z slide......swivel...12 to 10 lb flouro and a mustad treble .....Hosted by my Pen 20n inshore on a Diawa 7' rod ....I will Catch
zippy-report-28,"2/1/22 i lost a rig and it was slow, worms are the only bait working......no fish",34.2720887,-117.4661358,legacy-zippy-csv,"2/1/22 i lost a rig and it was slow, worms are the only bait working......no fish"
zippy-report-29,"Silverwood Lake ---- I have not caught fish here yet, striper in summer trout in winter i hear.....dock is affordable...",34.238653,-117.080092,legacy-zippy-csv,always | this is GREEN VALLEY LAKE
zippy-report-30,1/28/22 wind subsided and i caught a bass at 730 am 13 in by the dam on a nightcrawler,33.9081,-117.9364,legacy-zippy-csv,"May 2, 2023: I caught a bluegill or red dot......it was very fun...i floated a worm on a 12 ' hinge and it produced my 4th cast with some dragging.....I had 4 lb test with size 22 hook on nightcrawler and cast gently....i used a southbend inline float with a bobber stop on a carolina rig with 1/2 oz bullet weight....very fun.."
zippy-report-31,2/2/22 .... i lost a sinker at tricity with a hook...darn...so i decreased to 1 rod w worms no luck.......over the ba...,33.9037,-117.8652,legacy-zippy-csv,2/2/22 .... i lost a sinker at tricity with a hook...darn...so i decreased to 1 rod w worms no luck.......over the basin the activity seems to be cold right now and maybe 10 am to noon not sunrise
zippy-report-32,Mooney s Grove ...2-11-22...many large trout caught on green power bait....I had worms and no luck,36.2799,-119.3089,legacy-zippy-csv,Mooney s Grove ...2-11-22...many large trout caught on green power bait....I had worms and no luck
zippy-report-33,never however catfish paradise,34.74228,-114.487525,legacy-zippy-csv,"nov 6. 2022, fished a newport beach mackeral cut, didnt catch, i saw a small cat get pulled also at lunch"
zippy-report-34,"Catalina -  Little Harbor Campground, Little Harbor Road, Los Angeles County, California, United States",33.3866412,-118.4734779,legacy-zippy-csv,"Catalina - Little Harbor Campground, Little Harbor Road, Los Angeles County, California, United States"
zippy-report-35,All days no fishing....developer Jay Tolleson.s home,33.890075,-117.915976,legacy-zippy-csv,All days no fishing....developer Jay Tolleson.s home
zippy-report-36,Carr Park Lake was just stocked with Catfish!!!...nope havent seen it...,33.721744,-118.02346,legacy-zippy-csv,Carr Park Lake was just stocked with Catfish!!!...nope havent seen it...
zippy-report-37,"there are large fish here and reason to use 40 lb test with bait..........pull up and fish i heard, i guess its intel...",34.300533,-114.13695,legacy-zippy-csv,"Nov 12, 2022 - - - Fished ""Takeoff point"" at 95 spur 5 ft b4 dam..........i used 40 lb and caught 1 small, several bites saw a smallmouth....caught a striped bass......also used 10 lb.....platforms are cool deeper in is the pier i want to use next time by the launch ramp"
zippy-report-38,"Twice in my life i have camped here and fished, after getting permits at the ranger station in  ??big pine??, anyway ...",37.122058,-118.494921,legacy-zippy-csv,"Twice in my life i have camped here and fished, after getting permits at the ranger station in ??big pine??, anyway park at glacier lodge, and hike up to the falls, right, and continue to lake 3 ....many fish.....use bear can and stuff....can go past to lake 5-6 up mule trail, camp, go to cloudripper via the shale ridge past lake 678.......13,500...bad weather often...dont fish aroung lightening....maybe this summer...."
zippy-report-39,"Pickle Meadows -- marine warefare - Walker river - Mono County, California, United States",38.344282,-119.528567,legacy-zippy-csv,"Pickle Meadows -- marine warefare - Walker river - Mono County, California, United States"
zippy-report-40,"Prince Park - Moritz Drive, Huntington Beach, Orange County, California, 92649, United States --",33.725167,-118.0734134,legacy-zippy-csv,Fished on sep 2 2023 --- stingrays and yellowfin croaker here....10-20 ft deep....anchovies.no luck
zippy-report-41,Halibut here a lot....short walk from Bolsa chica to the loc in huntington beach ca,33.68283,-118.03554,legacy-zippy-csv,Halibut here a lot....short walk from Bolsa chica to the loc in huntington beach ca
zippy-report-42,LFTR fishing spot 42,33.60461177997739,-117.92585134506226,legacy-zippy-csv,LFTR fishing report
zippy-report-43,2025-12-05 22:37 UTC – 12/5/2025 - Silverwood Lake -- The point.......I cast at the marina side with my bobber stoppe...,34.28354,-117.334087,legacy-zippy-csv,2025-12-05 22:37 UTC – 12/5/2025 - Silverwood Lake -- The point.......I cast at the marina side with my bobber stopped carolina and worm on mosquito hook where a bass had jumped; later - two trout turned into four in about 4 ft of water neer the shore....a man told me he caught a few bass already and then the trout showed up......i didnt catch today however i have my reconn....2.2 lbs trout ....i used 8 lb and wished i had used 4 w worms n eggs flaoting or sinking bait.
